2025-10-18 22:30:03 | Exception: Template not found: client.welcome | File: C:\laragon\www\DocTruyenHay\vendor\eftec\bladeone\lib\BladeOne.php | Line: 1434
2025-10-20 23:56:27 | Exception: Craft\Database\QueryBuilder\BaseBuilder::__construct(): Argument #2 ($table) must be of type string, null given, called in C:\laragon\www\DocTruyenHay\src\Database\DatabaseManager.php on line 142 | File: C:\laragon\www\DocTruyenHay\src\Database\QueryBuilder\BaseBuilder.php | Line: 15
2025-10-24 15:04:48 | Exception:  | File: C:\laragon\www\DocTruyenHay\app\Router\web.php | Line: 82
2025-10-25 12:46:48 | Exception: call_user_func_array(): Argument #1 ($callback) must be a valid callback, class Craft\Database\QueryBuilder\SqliteBuilder does not have a method "all" | File: C:\laragon\www\DocTruyenHay\app\Model\Model.php | Line: 57
2025-10-25 12:47:46 | Exception: SQLite3 extension is not loaded. | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\Sqlite3Adapter.php | Line: 20
2025-10-25 12:48:19 | Exception: Unknown database 'manga_reader' | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\MysqliAdapter.php | Line: 19
2025-10-25 12:52:28 | Exception: syntax error, unexpected token ";", expecting ")" | File: C:\laragon\www\DocTruyenHay\app\Router\web.php | Line: 80
2025-10-26 12:21:42 | Exception: SQLSTATE[HY000]: General error: 1 no such table: author | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 34
2025-10-26 12:21:44 | Exception: SQLSTATE[HY000]: General error: 1 no such table: author | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 34
2025-10-26 12:21:52 | Exception: SQLSTATE[HY000]: General error: 1 no such table: author | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 34
2025-10-26 12:22:05 | Exception: SQLSTATE[HY000]: General error: 1 no such table: author | File: C:\laragon\www\DocTruyenHay\src\Database\Adapter\PdoSqliteAdapter.php | Line: 34
2025-10-28 09:27:15 | Exception: 400 Bad Request: Missing required parameter for API route /api/mail/sender/{param}. | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 718
2025-10-28 09:28:47 | Exception: 400 Bad Request: Missing required parameter for API route /api/mail/sender/{param}. | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 718
2025-10-28 09:29:11 | Exception: 400 Bad Request: Missing required parameter for API route /api/mail/sender/{param}. | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 718
2025-10-28 09:29:56 | Exception: 400 Bad Request: Missing required parameter for API route /api/mail/sender/{param}. | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 718
